v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,1.1,1.100014e-12,8.152177e-15,1.100014e-12,-2.20834e-12
0.01,0.01,0.0,0.0,1.1,1.085478e-12,8.152372e-15,1.10455e-12,-2.19827e-12
0.02,0.02,0.0,0.0,1.1,1.063362e-12,8.15264e-15,1.116667e-12,-2.18828e-12
0.03,0.03,0.0,0.0,1.1,1.036521e-12,8.152822e-15,1.133507e-12,-2.17826e-12
0.04,0.04,0.0,0.0,1.1,1.000331e-12,8.152976e-15,1.159697e-12,-2.16824e-12
0.05,0.05,0.0,0.0,1.1,9.502081e-13,8.153105e-15,1.19982e-12,-2.15827e-12
0.06,0.06,0.0,0.0,1.1,8.789598e-13,8.15321e-15,1.261068e-12,-2.14828e-12
0.07,0.07,0.0,0.0,1.1,7.753612e-13,8.153295e-15,1.354667e-12,-2.13826e-12
0.08,0.08,0.0,0.0,1.1,6.220962e-13,8.153362e-15,1.497932e-12,-2.1283e-12
0.09,0.09,0.0,0.0,1.1,3.926398e-13,8.153414e-15,1.717388e-12,-2.11828e-12
0.1,0.1,0.0,0.0,1.1,4.646946e-14,8.153451e-15,2.053559e-12,-2.10829e-12
0.11,0.11,0.0,0.0,1.1,-4.78257e-13,8.153477e-15,2.568286e-12,-2.09835e-12
0.12,0.12,0.0,0.0,1.1,-1.27586e-12,8.153494e-15,3.355885e-12,-2.08825e-12
0.13,0.13,0.0,0.0,1.1,-2.49007e-12,8.153505e-15,4.560095e-12,-2.07828e-12
0.14,0.14,0.0,0.0,1.1,-4.33977e-12,8.153514e-15,6.399802e-12,-2.06835e-12
0.15,0.15,0.0,0.0,1.1,-7.15801e-12,8.15353e-15,9.20804e-12,-2.05824e-12
0.16,0.16,0.0,0.0,1.1,-1.1451e-11,8.153588e-15,1.349102e-11,-2.04831e-12
0.17,0.17,0.0,0.0,1.1,-1.79873e-11,8.153749e-15,2.001737e-11,-2.03834e-12
0.18,0.18,0.0,0.0,1.1,-2.79327e-11,8.153992e-15,2.995275e-11,-2.02829e-12
0.19,0.19,0.0,0.0,1.1,-4.30526e-11,8.154293e-15,4.506259e-11,-2.01833e-12
0.2,0.2,0.0,0.0,1.1,-6.60165e-11,8.154656e-15,6.801652e-11,-2.00831e-12
0.21,0.21,0.0,0.0,1.1,-1.00854e-10,8.155096e-15,1.028445e-10,-1.99829e-12
0.22,0.22,0.0,0.0,1.1,-1.53638e-10,8.155639e-15,1.556176e-10,-1.98824e-12
0.23,0.23,0.0,0.0,1.1,-2.3349e-10,8.156319e-15,2.354603e-10,-1.97833e-12
0.24,0.24,0.0,0.0,1.1,-3.5409e-10,8.15719e-15,3.560496e-10,-1.96831e-12
0.25,0.25,0.0,0.0,1.1,-5.35871e-10,8.158329e-15,5.378209e-10,-1.95835e-12
0.26,0.26,0.0,0.0,1.1,-8.09257e-10,8.159848e-15,8.111975e-10,-1.94836e-12
0.27,0.27,0.0,0.0,1.1,-1.21935e-09,8.16191e-15,1.221279e-09,-1.93834e-12
0.28,0.28,0.0,0.0,1.1,-1.83268e-09,8.164754e-15,1.834599e-09,-1.92826e-12
0.29,0.29,0.0,0.0,1.1,-2.74685e-09,8.168724e-15,2.748755e-09,-1.91833e-12
