v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,1.1,1.100004e-12,1.195653e-15,1.100004e-12,-2.20127e-12
0.01,0.01,0.0,0.0,1.1,1.089338e-12,1.195681e-15,1.100669e-12,-2.19125e-12
0.02,0.02,0.0,0.0,1.1,1.077563e-12,1.195721e-15,1.102444e-12,-2.18131e-12
0.03,0.03,0.0,0.0,1.1,1.065097e-12,1.195747e-15,1.10491e-12,-2.17132e-12
0.04,0.04,0.0,0.0,1.1,1.051264e-12,1.19577e-15,1.108743e-12,-2.16133e-12
0.05,0.05,0.0,0.0,1.1,1.035396e-12,1.195789e-15,1.114611e-12,-2.15128e-12
0.06,0.06,0.0,0.0,1.1,1.016442e-12,1.195804e-15,1.123565e-12,-2.14126e-12
0.07,0.07,0.0,0.0,1.1,9.927631e-13,1.195817e-15,1.137244e-12,-2.13124e-12
0.08,0.08,0.0,0.0,1.1,9.618317e-13,1.195826e-15,1.158175e-12,-2.12128e-12
0.09,0.09,0.0,0.0,1.1,9.197748e-13,1.195834e-15,1.190232e-12,-2.11123e-12
0.1,0.1,0.0,0.0,1.1,8.606769e-13,1.195839e-15,1.23933e-12,-2.10126e-12
0.11,0.11,0.0,0.0,1.1,7.755107e-13,1.195843e-15,1.314496e-12,-2.09133e-12
0.12,0.12,0.0,0.0,1.1,6.505096e-13,1.195846e-15,1.429498e-12,-2.08125e-12
0.13,0.13,0.0,0.0,1.1,4.64694e-13,1.195847e-15,1.605313e-12,-2.07129e-12
0.14,0.14,0.0,0.0,1.1,1.861178e-13,1.195849e-15,1.873889e-12,-2.06132e-12
0.15,0.15,0.0,0.0,1.1,-2.33823e-13,1.195851e-15,2.28383e-12,-2.05128e-12
0.16,0.16,0.0,0.0,1.1,-8.69002e-13,1.19586e-15,2.90901e-12,-2.04131e-12
0.17,0.17,0.0,0.0,1.1,-1.83159e-12,1.195883e-15,3.861595e-12,-2.03129e-12
0.18,0.18,0.0,0.0,1.1,-3.29168e-12,1.195919e-15,5.311689e-12,-2.02133e-12
0.19,0.19,0.0,0.0,1.1,-5.5069e-12,1.195963e-15,7.516905e-12,-2.01131e-12
0.2,0.2,0.0,0.0,1.1,-8.86679e-12,1.196016e-15,1.08668e-11,-2.00123e-12
0.21,0.21,0.0,0.0,1.1,-1.39594e-11,1.196081e-15,1.59494e-11,-1.99124e-12
0.22,0.22,0.0,0.0,1.1,-2.16705e-11,1.19616e-15,2.365055e-11,-1.9813e-12
0.23,0.23,0.0,0.0,1.1,-3.33316e-11,1.19626e-15,3.530161e-11,-1.97128e-12
0.24,0.24,0.0,0.0,1.1,-5.09381e-11,1.196388e-15,5.289815e-11,-1.96124e-12
0.25,0.25,0.0,0.0,1.1,-7.74718e-11,1.196555e-15,7.942184e-11,-1.95124e-12
0.26,0.26,0.0,0.0,1.1,-1.17372e-10,1.196778e-15,1.193115e-10,-1.94125e-12
0.27,0.27,0.0,0.0,1.1,-1.77217e-10,1.19708e-15,1.791475e-10,-1.93123e-12
0.28,0.28,0.0,0.0,1.1,-2.66717e-10,1.197497e-15,2.686369e-10,-1.92124e-12
0.29,0.29,0.0,0.0,1.1,-4.0011e-10,1.19808e-15,4.020203e-10,-1.9113e-12
0.3,0.3,0.0,0.0,1.1,-5.98156e-10,1.198899e-15,6.000558e-10,-1.90137e-12
0.31,0.31,0.0,0.0,1.1,-8.90897e-10,1.20006e-15,8.927871e-10,-1.89132e-12
0.32,0.32,0.0,0.0,1.1,-1.32148e-09,1.201706e-15,1.323356e-09,-1.88133e-12
0.33,0.33,0.0,0.0,1.1,-1.95132e-09,1.204043e-15,1.953186e-09,-1.87123e-12
0.34,0.34,0.0,0.0,1.1,-2.86708e-09,1.20735e-15,2.868936e-09,-1.86123e-12
0.35,0.35,0.0,0.0,1.1,-4.18989e-09,1.21201e-15,4.191743e-09,-1.85127e-12
0.36,0.36,0.0,0.0,1.1,-6.08753e-09,1.218534e-15,6.089368e-09,-1.84122e-12
0.37,0.37,0.0,0.0,1.1,-8.79027e-09,1.227599e-15,8.792095e-09,-1.83126e-12
0.38,0.38,0.0,0.0,1.1,-1.26116e-08,1.24008e-15,1.261341e-08,-1.82132e-12
0.39,0.39,0.0,0.0,1.1,-1.79749e-08,1.257098e-15,1.797674e-08,-1.81138e-12
0.4,0.4,0.0,0.0,1.1,-2.54479e-08,1.280063e-15,2.54497e-08,-1.80142e-12
0.41,0.41,0.0,0.0,1.1,-3.57848e-08,1.310729e-15,3.578661e-08,-1.79146e-12
0.42,0.42,0.0,0.0,1.1,-4.99774e-08,1.351254e-15,4.99792e-08,-1.78152e-12
0.43,0.43,0.0,0.0,1.1,-6.93105e-08,1.404275e-15,6.931225e-08,-1.77178e-12
0.44,0.44,0.0,0.0,1.1,-9.54155e-08,1.473011e-15,9.541728e-08,-1.76187e-12
0.45,0.45,0.0,0.0,1.1,-1.3031e-07,1.561382e-15,1.303121e-07,-1.75215e-12
0.46,0.46,0.0,0.0,1.1,-1.76409e-07,1.674174e-15,1.764104e-07,-1.74244e-12
0.47,0.47,0.0,0.0,1.1,-2.36484e-07,1.817249e-15,2.364853e-07,-1.73289e-12
0.48,0.48,0.0,0.0,1.1,-3.13573e-07,1.997804e-15,3.135751e-07,-1.72334e-12
0.49,0.49,0.0,0.0,1.1,-4.1083e-07,2.22469e-15,4.108315e-07,-1.71402e-12
0.5,0.5,0.0,0.0,1.1,-5.31324e-07,2.508811e-15,5.313253e-07,-1.70475e-12
0.51,0.51,0.0,0.0,1.1,-6.77836e-07,2.863608e-15,6.778373e-07,-1.69567e-12
0.52,0.52,0.0,0.0,1.1,-8.52667e-07,3.305639e-15,8.526684e-07,-1.68698e-12
