v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,1.1,0.0,0.0,1.614202e-10,-4.6846e-10,1.614202e-10,1.456201e-10
0.01,0.01,1.1,0.0,0.0,-9.23734e-06,-4.69756e-10,9.23766e-06,1.490683e-10
0.02,0.02,1.1,0.0,0.0,-1.8344e-05,-4.70563e-10,1.834433e-05,1.525923e-10
0.03,0.03,1.1,0.0,0.0,-2.73198e-05,-4.71411e-10,2.732016e-05,1.561937e-10
0.04,0.04,1.1,0.0,0.0,-3.61649e-05,-4.72447e-10,3.616519e-05,1.598739e-10
0.05,0.05,1.1,0.0,0.0,-4.48792e-05,-4.73679e-10,4.487954e-05,1.636345e-10
0.06,0.06,1.1,0.0,0.0,-5.3463e-05,-4.75098e-10,5.346331e-05,1.674771e-10
0.07,0.07,1.1,0.0,0.0,-6.19164e-05,-4.76696e-10,6.191667e-05,1.714032e-10
0.08,0.08,1.1,0.0,0.0,-7.02394e-05,-4.7847e-10,7.023974e-05,1.754144e-10
0.09,0.09,1.1,0.0,0.0,-7.84324e-05,-4.80415e-10,7.843266e-05,1.795123e-10
0.1,0.1,1.1,0.0,0.0,-8.64953e-05,-4.82528e-10,8.649555e-05,1.836985e-10
0.11,0.11,1.1,0.0,0.0,-9.44282e-05,-4.84807e-10,9.442851e-05,1.879749e-10
0.12,0.12,1.1,0.0,0.0,-0.000102231,-4.87252e-10,0.0001022316,1.923429e-10
0.13,0.13,1.1,0.0,0.0,-0.000109905,-4.8986e-10,0.0001099049,1.968044e-10
0.14,0.14,1.1,0.0,0.0,-0.000117448,-4.9263e-10,0.0001174483,2.01361e-10
0.15,0.15,1.1,0.0,0.0,-0.000124861,-4.95564e-10,0.0001248618,2.060146e-10
0.16,0.16,1.1,0.0,0.0,-0.000132145,-4.98659e-10,0.0001321452,2.10767e-10
0.17,0.17,1.1,0.0,0.0,-0.000139298,-5.01915e-10,0.0001392984,2.156198e-10
0.18,0.18,1.1,0.0,0.0,-0.000146321,-5.05334e-10,0.0001463211,2.20575e-10
0.19,0.19,1.1,0.0,0.0,-0.000153213,-5.08913e-10,0.000153213,2.256345e-10
0.2,0.2,1.1,0.0,0.0,-0.000159973,-5.12655e-10,0.0001599735,2.308e-10
0.21,0.21,1.1,0.0,0.0,-0.000166602,-5.16558e-10,0.0001666022,2.360736e-10
0.22,0.22,1.1,0.0,0.0,-0.000173098,-5.20624e-10,0.0001730983,2.414571e-10
0.23,0.23,1.1,0.0,0.0,-0.000179461,-5.24854e-10,0.000179461,2.469525e-10
0.24,0.24,1.1,0.0,0.0,-0.000185689,-5.29247e-10,0.0001856894,2.525618e-10
0.25,0.25,1.1,0.0,0.0,-0.000191782,-5.33805e-10,0.0001917823,2.58287e-10
0.26,0.26,1.1,0.0,0.0,-0.000197738,-5.38529e-10,0.0001977384,2.641301e-10
0.27,0.27,1.1,0.0,0.0,-0.000203556,-5.4342e-10,0.0002035561,2.700932e-10
0.28,0.28,1.1,0.0,0.0,-0.000209234,-5.4848e-10,0.0002092339,2.761784e-10
0.29,0.29,1.1,0.0,0.0,-0.000214769,-5.53709e-10,0.0002147696,2.823877e-10
0.3,0.3,1.1,0.0,0.0,-0.000220161,-5.5911e-10,0.0002201611,2.887234e-10
0.31,0.31,1.1,0.0,0.0,-0.000225406,-5.64685e-10,0.0002254059,2.951876e-10
0.32,0.32,1.1,0.0,0.0,-0.000230501,-5.70435e-10,0.0002305015,3.017825e-10
0.33,0.33,1.1,0.0,0.0,-0.000235445,-5.76362e-10,0.0002354448,3.085103e-10
0.34,0.34,1.1,0.0,0.0,-0.000240233,-5.8247e-10,0.0002402329,3.153732e-10
0.35,0.35,1.1,0.0,0.0,-0.000244862,-5.8876e-10,0.0002448625,3.223736e-10
0.36,0.36,1.1,0.0,0.0,-0.00024933,-5.95235e-10,0.0002493306,3.295137e-10
0.37,0.37,1.1,0.0,0.0,-0.000253634,-6.01898e-10,0.000253634,3.367958e-10
0.38,0.38,1.1,0.0,0.0,-0.00025777,-6.08751e-10,0.0002577698,3.442223e-10
0.39,0.39,1.1,0.0,0.0,-0.000261736,-6.15798e-10,0.0002617359,3.517957e-10
0.4,0.4,1.1,0.0,0.0,-0.00026553,-6.23042e-10,0.0002655305,3.595181e-10
0.41,0.41,1.1,0.0,0.0,-0.000269153,-6.30485e-10,0.000269153,3.673922e-10
0.42,0.42,1.1,0.0,0.0,-0.000272603,-6.38129e-10,0.0002726037,3.754202e-10
0.43,0.43,1.1,0.0,0.0,-0.000275884,-6.45978e-10,0.0002758845,3.836047e-10
0.44,0.44,1.1,0.0,0.0,-0.000278998,-6.54033e-10,0.0002789986,3.919481e-10
0.45,0.45,1.1,0.0,0.0,-0.000281951,-6.62296e-10,0.0002819508,4.004528e-10
0.46,0.46,1.1,0.0,0.0,-0.000284747,-6.70769e-10,0.0002847471,4.091213e-10
0.47,0.47,1.1,0.0,0.0,-0.000287395,-6.79453e-10,0.0002873951,4.179561e-10
0.48,0.48,1.1,0.0,0.0,-0.000289903,-6.88348e-10,0.0002899031,4.269597e-10
0.49,0.49,1.1,0.0,0.0,-0.00029228,-6.97456e-10,0.0002922805,4.361345e-10
0.5,0.5,1.1,0.0,0.0,-0.000294536,-7.06776e-10,0.0002945366,4.45483e-10
0.51,0.51,1.1,0.0,0.0,-0.000296681,-7.1631e-10,0.0002966814,4.550079e-10
0.52,0.52,1.1,0.0,0.0,-0.000298724,-7.26058e-10,0.0002987244,4.647115e-10
0.53,0.53,1.1,0.0,0.0,-0.000300675,-7.3602e-10,0.0003006748,4.745966e-10
0.54,0.54,1.1,0.0,0.0,-0.000302541,-7.46197e-10,0.0003025415,4.846656e-10
0.55,0.55,1.1,0.0,0.0,-0.000304332,-7.56589e-10,0.0003043326,4.949211e-10
0.56,0.56,1.1,0.0,0.0,-0.000306055,-7.67198e-10,0.0003060556,5.053658e-10
0.57,0.57,1.1,0.0,0.0,-0.000307717,-7.78023e-10,0.0003077175,5.160024e-10
0.58,0.58,1.1,0.0,0.0,-0.000309324,-7.89066e-10,0.0003093244,5.268334e-10
0.59,0.59,1.1,0.0,0.0,-0.000310882,-8.00329e-10,0.000310882,5.378615e-10
0.6,0.6,1.1,0.0,0.0,-0.000312395,-8.11812e-10,0.0003123953,5.490895e-10
0.61,0.61,1.1,0.0,0.0,-0.000313868,-8.23517e-10,0.0003138687,5.605202e-10
0.62,0.62,1.1,0.0,0.0,-0.000315306,-8.35446e-10,0.0003153062,5.721561e-10
0.63,0.63,1.1,0.0,0.0,-0.000316711,-8.47599e-10,0.0003167114,5.840002e-10
0.64,0.64,1.1,0.0,0.0,-0.000318087,-8.5998e-10,0.0003180875,5.960551e-10
0.65,0.65,1.1,0.0,0.0,-0.000319437,-8.72589e-10,0.0003194371,6.083238e-10
0.66,0.66,1.1,0.0,0.0,-0.000320763,-8.85429e-10,0.0003207629,6.20809e-10
0.67,0.67,1.1,0.0,0.0,-0.000322067,-8.98502e-10,0.000322067,6.335136e-10
0.68,0.68,1.1,0.0,0.0,-0.000323351,-9.1181e-10,0.0003233514,6.464404e-10
0.69,0.69,1.1,0.0,0.0,-0.000324618,-9.25355e-10,0.0003246178,6.595923e-10
0.7,0.7,1.1,0.0,0.0,-0.000325868,-9.3914e-10,0.0003258679,6.729723e-10
0.71,0.71,1.1,0.0,0.0,-0.000327103,-9.53166e-10,0.000327103,6.865832e-10
0.72,0.72,1.1,0.0,0.0,-0.000328324,-9.67436e-10,0.0003283244,7.00428e-10
0.73,0.73,1.1,0.0,0.0,-0.000329533,-9.81954e-10,0.0003295332,7.145096e-10
0.74,0.74,1.1,0.0,0.0,-0.00033073,-9.9672e-10,0.0003307305,7.28831e-10
0.75,0.75,1.1,0.0,0.0,-0.000331917,-1.01174e-09,0.0003319171,7.433951e-10
0.76,0.76,1.1,0.0,0.0,-0.000333094,-1.02701e-09,0.0003330939,7.58205e-10
0.77,0.77,1.1,0.0,0.0,-0.000334261,-1.04254e-09,0.0003342616,7.732637e-10
0.78,0.78,1.1,0.0,0.0,-0.000335421,-1.05833e-09,0.0003354209,7.885742e-10
0.79,0.79,1.1,0.0,0.0,-0.000336572,-1.07438e-09,0.0003365725,8.041395e-10
0.8,0.8,1.1,0.0,0.0,-0.000337717,-1.09069e-09,0.0003377169,8.199627e-10
0.81,0.81,1.1,0.0,0.0,-0.000338854,-1.10728e-09,0.0003388546,8.360468e-10
0.82,0.82,1.1,0.0,0.0,-0.000339986,-1.12413e-09,0.0003399861,8.52395e-10
0.83,0.83,1.1,0.0,0.0,-0.000341112,-1.14126e-09,0.000341112,8.690104e-10
0.84,0.84,1.1,0.0,0.0,-0.000342232,-1.15866e-09,0.0003422325,8.85896e-10
0.85,0.85,1.1,0.0,0.0,-0.000343348,-1.17635e-09,0.0003433481,9.03055e-10
0.86,0.86,1.1,0.0,0.0,-0.000344459,-1.19431e-09,0.0003444592,9.204905e-10
0.87,0.87,1.1,0.0,0.0,-0.000345566,-1.21256e-09,0.0003455662,9.382056e-10
0.88,0.88,1.1,0.0,0.0,-0.000346669,-1.2311e-09,0.0003466693,9.562036e-10
0.89,0.89,1.1,0.0,0.0,-0.000347769,-1.24993e-09,0.0003477691,9.744876e-10
0.9,0.9,1.1,0.0,0.0,-0.000348865,-1.26905e-09,0.0003488657,9.930607e-10
0.91,0.91,1.1,0.0,0.0,-0.000349959,-1.28847e-09,0.0003499596,1.011926e-09
0.92,0.92,1.1,0.0,0.0,-0.000351051,-1.30819e-09,0.0003510512,1.031087e-09
0.93,0.93,1.1,0.0,0.0,-0.00035214,-1.32821e-09,0.0003521407,1.050547e-09
0.94,0.94,1.1,0.0,0.0,-0.000353228,-1.34855e-09,0.0003532285,1.070309e-09
0.95,0.95,1.1,0.0,0.0,-0.000354315,-1.3692e-09,0.0003543151,1.090377e-09
0.96,0.96,1.1,0.0,0.0,-0.000355401,-1.39017e-09,0.0003554008,1.110753e-09
0.97,0.97,1.1,0.0,0.0,-0.000356486,-1.41145e-09,0.000356486,1.131441e-09
0.98,0.98,1.1,0.0,0.0,-0.000357571,-1.43304e-09,0.0003575712,1.152444e-09
0.99,0.99,1.1,0.0,0.0,-0.000358656,-1.45496e-09,0.0003586567,1.173765e-09
1.0,1.0,1.1,0.0,0.0,-0.000359743,-1.4772e-09,0.0003597432,1.195408e-09
1.01,1.01,1.1,0.0,0.0,-0.000360831,-1.49976e-09,0.000360831,1.217376e-09
1.02,1.02,1.1,0.0,0.0,-0.00036192,-1.52265e-09,0.0003619207,1.239673e-09
1.03,1.03,1.1,0.0,0.0,-0.000363012,-1.54588e-09,0.0003630128,1.262301e-09
1.04,1.04,1.1,0.0,0.0,-0.000364108,-1.56944e-09,0.0003641078,1.285265e-09
