v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,1.1,0.0,0.0,1.330386e-10,-3.86094e-10,1.330386e-10,1.200166e-10
0.01,0.01,1.1,0.0,0.0,-7.6753e-06,-3.87162e-10,7.675564e-06,1.228602e-10
0.02,0.02,1.1,0.0,0.0,-1.52412e-05,-3.87827e-10,1.524141e-05,1.257664e-10
0.03,0.03,1.1,0.0,0.0,-2.26974e-05,-3.88526e-10,2.269769e-05,1.287363e-10
0.04,0.04,1.1,0.0,0.0,-3.00442e-05,-3.8938e-10,3.004446e-05,1.317712e-10
0.05,0.05,1.1,0.0,0.0,-3.72816e-05,-3.90395e-10,3.728183e-05,1.348724e-10
0.06,0.06,1.1,0.0,0.0,-4.44097e-05,-3.91564e-10,4.440992e-05,1.380411e-10
0.07,0.07,1.1,0.0,0.0,-5.14286e-05,-3.92882e-10,5.142887e-05,1.412787e-10
0.08,0.08,1.1,0.0,0.0,-5.83386e-05,-3.94344e-10,5.833883e-05,1.445864e-10
0.09,0.09,1.1,0.0,0.0,-6.51397e-05,-3.95947e-10,6.513991e-05,1.479655e-10
0.1,0.1,1.1,0.0,0.0,-7.1832e-05,-3.97688e-10,7.183225e-05,1.514175e-10
0.11,0.11,1.1,0.0,0.0,-7.84157e-05,-3.99567e-10,7.841593e-05,1.549437e-10
0.12,0.12,1.1,0.0,0.0,-8.48908e-05,-4.01582e-10,8.489104e-05,1.585455e-10
0.13,0.13,1.1,0.0,0.0,-9.12574e-05,-4.03731e-10,9.125762e-05,1.622243e-10
0.14,0.14,1.1,0.0,0.0,-9.75154e-05,-4.06015e-10,9.751566e-05,1.659816e-10
0.15,0.15,1.1,0.0,0.0,-0.000103665,-4.08433e-10,0.0001036651,1.698187e-10
0.16,0.16,1.1,0.0,0.0,-0.000109706,-4.10984e-10,0.000109706,1.737372e-10
0.17,0.17,1.1,0.0,0.0,-0.000115638,-4.13668e-10,0.000115638,1.777386e-10
0.18,0.18,1.1,0.0,0.0,-0.000121461,-4.16486e-10,0.000121461,1.818243e-10
0.19,0.19,1.1,0.0,0.0,-0.000127175,-4.19436e-10,0.0001271747,1.85996e-10
0.2,0.2,1.1,0.0,0.0,-0.000132779,-4.2252e-10,0.0001327788,1.902551e-10
0.21,0.21,1.1,0.0,0.0,-0.000138273,-4.25738e-10,0.0001382728,1.946032e-10
0.22,0.22,1.1,0.0,0.0,-0.000143656,-4.29089e-10,0.0001436561,1.990419e-10
0.23,0.23,1.1,0.0,0.0,-0.000148928,-4.32575e-10,0.0001489281,2.035729e-10
0.24,0.24,1.1,0.0,0.0,-0.000154088,-4.36197e-10,0.0001540879,2.081977e-10
0.25,0.25,1.1,0.0,0.0,-0.000159134,-4.39954e-10,0.0001591347,2.12918e-10
0.26,0.26,1.1,0.0,0.0,-0.000164067,-4.43848e-10,0.0001640672,2.177356e-10
0.27,0.27,1.1,0.0,0.0,-0.000168884,-4.47879e-10,0.0001688844,2.22652e-10
0.28,0.28,1.1,0.0,0.0,-0.000173584,-4.5205e-10,0.0001735847,2.276691e-10
0.29,0.29,1.1,0.0,0.0,-0.000178166,-4.56361e-10,0.0001781665,2.327885e-10
0.3,0.3,1.1,0.0,0.0,-0.000182628,-4.60813e-10,0.000182628,2.38012e-10
0.31,0.31,1.1,0.0,0.0,-0.000186967,-4.65408e-10,0.0001869672,2.433415e-10
0.32,0.32,1.1,0.0,0.0,-0.000191182,-4.70148e-10,0.0001911818,2.487786e-10
0.33,0.33,1.1,0.0,0.0,-0.000195269,-4.75035e-10,0.0001952694,2.543253e-10
0.34,0.34,1.1,0.0,0.0,-0.000199227,-4.8007e-10,0.0001992275,2.599834e-10
0.35,0.35,1.1,0.0,0.0,-0.000203053,-4.85255e-10,0.0002030536,2.657548e-10
0.36,0.36,1.1,0.0,0.0,-0.000206745,-4.90594e-10,0.0002067449,2.716413e-10
0.37,0.37,1.1,0.0,0.0,-0.000210299,-4.96087e-10,0.0002102989,2.776449e-10
0.38,0.38,1.1,0.0,0.0,-0.000213713,-5.01737e-10,0.0002137135,2.837675e-10
0.39,0.39,1.1,0.0,0.0,-0.000216986,-5.07548e-10,0.0002169866,2.900112e-10
0.4,0.4,1.1,0.0,0.0,-0.000220117,-5.1352e-10,0.0002201171,2.963777e-10
0.41,0.41,1.1,0.0,0.0,-0.000223104,-5.19657e-10,0.0002231044,3.028692e-10
0.42,0.42,1.1,0.0,0.0,-0.000225949,-5.2596e-10,0.0002259492,3.094876e-10
0.43,0.43,1.1,0.0,0.0,-0.000228653,-5.32431e-10,0.0002286529,3.16235e-10
0.44,0.44,1.1,0.0,0.0,-0.000231218,-5.39073e-10,0.0002312185,3.231133e-10
0.45,0.45,1.1,0.0,0.0,-0.00023365,-5.45887e-10,0.0002336501,3.301246e-10
0.46,0.46,1.1,0.0,0.0,-0.000235953,-5.52873e-10,0.000235953,3.372709e-10
0.47,0.47,1.1,0.0,0.0,-0.000238133,-5.60032e-10,0.0002381334,3.445543e-10
0.48,0.48,1.1,0.0,0.0,-0.000240198,-5.67366e-10,0.0002401985,3.519767e-10
0.49,0.49,1.1,0.0,0.0,-0.000242156,-5.74875e-10,0.000242156,3.595403e-10
0.5,0.5,1.1,0.0,0.0,-0.000244014,-5.8256e-10,0.0002440139,3.672471e-10
0.51,0.51,1.1,0.0,0.0,-0.00024578,-5.9042e-10,0.0002457803,3.750992e-10
0.52,0.52,1.1,0.0,0.0,-0.000247463,-5.98457e-10,0.0002474632,3.830986e-10
0.53,0.53,1.1,0.0,0.0,-0.00024907,-6.06669e-10,0.0002490702,3.912476e-10
0.54,0.54,1.1,0.0,0.0,-0.000250608,-6.15059e-10,0.0002506087,3.995481e-10
0.55,0.55,1.1,0.0,0.0,-0.000252085,-6.23626e-10,0.0002520852,4.080024e-10
0.56,0.56,1.1,0.0,0.0,-0.000253506,-6.32371e-10,0.0002535061,4.166126e-10
0.57,0.57,1.1,0.0,0.0,-0.000254877,-6.41295e-10,0.0002548769,4.253809e-10
0.58,0.58,1.1,0.0,0.0,-0.000256203,-6.50399e-10,0.0002562028,4.343095e-10
0.59,0.59,1.1,0.0,0.0,-0.000257488,-6.59683e-10,0.0002574884,4.434005e-10
0.6,0.6,1.1,0.0,0.0,-0.000258737,-6.69148e-10,0.0002587377,4.526563e-10
0.61,0.61,1.1,0.0,0.0,-0.000259954,-6.78797e-10,0.0002599544,4.620791e-10
0.62,0.62,1.1,0.0,0.0,-0.000261142,-6.88629e-10,0.0002611419,4.716711e-10
0.63,0.63,1.1,0.0,0.0,-0.000262303,-6.98647e-10,0.0002623028,4.814346e-10
0.64,0.64,1.1,0.0,0.0,-0.00026344,-7.08852e-10,0.00026344,4.913719e-10
0.65,0.65,1.1,0.0,0.0,-0.000264555,-7.19246e-10,0.0002645556,5.014854e-10
0.66,0.66,1.1,0.0,0.0,-0.000265651,-7.2983e-10,0.0002656516,5.117773e-10
0.67,0.67,1.1,0.0,0.0,-0.00026673,-7.40605e-10,0.0002667299,5.2225e-10
0.68,0.68,1.1,0.0,0.0,-0.000267792,-7.51574e-10,0.0002677921,5.329059e-10
0.69,0.69,1.1,0.0,0.0,-0.000268839,-7.62739e-10,0.0002688396,5.437473e-10
0.7,0.7,1.1,0.0,0.0,-0.000269874,-7.74101e-10,0.0002698738,5.547767e-10
0.71,0.71,1.1,0.0,0.0,-0.000270895,-7.85662e-10,0.0002708957,5.659964e-10
0.72,0.72,1.1,0.0,0.0,-0.000271906,-7.97424e-10,0.0002719063,5.774088e-10
0.73,0.73,1.1,0.0,0.0,-0.000272906,-8.0939e-10,0.0002729067,5.890165e-10
0.74,0.74,1.1,0.0,0.0,-0.000273897,-8.2156e-10,0.0002738976,6.008217e-10
0.75,0.75,1.1,0.0,0.0,-0.00027488,-8.33939e-10,0.0002748798,6.12827e-10
0.76,0.76,1.1,0.0,0.0,-0.000275854,-8.46527e-10,0.0002758539,6.250349e-10
0.77,0.77,1.1,0.0,0.0,-0.00027682,-8.59326e-10,0.0002768207,6.374478e-10
0.78,0.78,1.1,0.0,0.0,-0.00027778,-8.7234e-10,0.0002777805,6.500683e-10
0.79,0.79,1.1,0.0,0.0,-0.000278734,-8.85569e-10,0.000278734,6.628988e-10
0.8,0.8,1.1,0.0,0.0,-0.000279681,-8.99017e-10,0.0002796816,6.759418e-10
0.81,0.81,1.1,0.0,0.0,-0.000280624,-9.12685e-10,0.0002806238,6.891999e-10
0.82,0.82,1.1,0.0,0.0,-0.000281561,-9.26577e-10,0.0002815609,7.026756e-10
0.83,0.83,1.1,0.0,0.0,-0.000282493,-9.40694e-10,0.0002824933,7.163715e-10
0.84,0.84,1.1,0.0,0.0,-0.000283421,-9.55038e-10,0.0002834214,7.302901e-10
0.85,0.85,1.1,0.0,0.0,-0.000284345,-9.69613e-10,0.0002843455,7.444341e-10
0.86,0.86,1.1,0.0,0.0,-0.000285266,-9.8442e-10,0.0002852658,7.588059e-10
0.87,0.87,1.1,0.0,0.0,-0.000286183,-9.99462e-10,0.0002861828,7.734082e-10
0.88,0.88,1.1,0.0,0.0,-0.000287097,-1.01474e-09,0.0002870967,7.882436e-10
0.89,0.89,1.1,0.0,0.0,-0.000288008,-1.03026e-09,0.0002880078,8.033148e-10
0.9,0.9,1.1,0.0,0.0,-0.000288916,-1.04602e-09,0.0002889164,8.186243e-10
0.91,0.91,1.1,0.0,0.0,-0.000289823,-1.06203e-09,0.0002898228,8.341747e-10
0.92,0.92,1.1,0.0,0.0,-0.000290727,-1.07828e-09,0.0002907272,8.499688e-10
0.93,0.93,1.1,0.0,0.0,-0.00029163,-1.09479e-09,0.00029163,8.660092e-10
0.94,0.94,1.1,0.0,0.0,-0.000292531,-1.11155e-09,0.0002925315,8.822986e-10
0.95,0.95,1.1,0.0,0.0,-0.000293432,-1.12857e-09,0.000293432,8.988396e-10
0.96,0.96,1.1,0.0,0.0,-0.000294332,-1.14585e-09,0.0002943318,9.156349e-10
0.97,0.97,1.1,0.0,0.0,-0.000295231,-1.16339e-09,0.0002952313,9.326872e-10
0.98,0.98,1.1,0.0,0.0,-0.000296131,-1.18119e-09,0.0002961307,9.499993e-10
0.99,0.99,1.1,0.0,0.0,-0.00029703,-1.19925e-09,0.0002970306,9.675738e-10
1.0,1.0,1.1,0.0,0.0,-0.000297931,-1.21758e-09,0.0002979312,9.854135e-10
1.01,1.01,1.1,0.0,0.0,-0.000298833,-1.23618e-09,0.0002988331,1.003521e-09
1.02,1.02,1.1,0.0,0.0,-0.000299736,-1.25504e-09,0.0002997365,1.021899e-09
1.03,1.03,1.1,0.0,0.0,-0.000300642,-1.27419e-09,0.0003006421,1.040551e-09
1.04,1.04,1.1,0.0,0.0,-0.00030155,-1.29361e-09,0.0003015502,1.059479e-09
1.05,1.05,1.1,0.0,0.0,-0.000302461,-1.3133e-09,0.0003024613,1.078686e-09
1.06,1.06,1.1,0.0,0.0,-0.000303376,-1.33328e-09,0.000303376,1.098175e-09
1.07,1.07,1.1,0.0,0.0,-0.000304295,-1.35355e-09,0.0003042948,1.117948e-09
1.08,1.08,1.1,0.0,0.0,-0.000305218,-1.3741e-09,0.0003052183,1.138008e-09
1.09,1.09,1.1,0.0,0.0,-0.000306147,-1.39494e-09,0.000306147,1.158359e-09
1.1,1.1,1.1,0.0,0.0,-0.000307081,-1.41608e-09,0.0003070816,1.179003e-09
0.0,0.0,1.1,0.01,0.0,7.675564e-06,-3.87162e-10,-7.6753e-06,1.228602e-10
0.01,0.01,1.1,0.01,0.0,1.269494e-10,-3.561e-10,1.269494e-10,1.022018e-10
0.02,0.02,1.1,0.01,0.0,-7.64355e-06,-3.56836e-10,7.643803e-06,1.046484e-10
0.03,0.03,1.1,0.01,0.0,-1.5176e-05,-3.57184e-10,1.517622e-05,1.071496e-10
0.04,0.04,1.1,0.01,0.0,-2.25971e-05,-3.57561e-10,2.259737e-05,1.097066e-10
0.05,0.05,1.1,0.01,0.0,-2.99071e-05,-3.58081e-10,2.990734e-05,1.123205e-10
0.06,0.06,1.1,0.01,0.0,-3.7106e-05,-3.5875e-10,3.710622e-05,1.149923e-10
0.07,0.07,1.1,0.01,0.0,-4.41939e-05,-3.59562e-10,4.419415e-05,1.177233e-10
0.08,0.08,1.1,0.01,0.0,-5.1171e-05,-3.60511e-10,5.117126e-05,1.205147e-10
