v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,1.1,0.0,0.0,1.951233e-11,-5.66276e-11,1.951233e-11,1.760243e-11
0.01,0.01,1.1,0.0,0.0,-1.39984e-06,-5.67839e-11,1.399877e-06,1.802803e-11
0.02,0.02,1.1,0.0,0.0,-2.77491e-06,-5.68816e-11,2.774946e-06,1.846281e-11
0.03,0.03,1.1,0.0,0.0,-4.12534e-06,-5.69838e-11,4.125376e-06,1.890694e-11
0.04,0.04,1.1,0.0,0.0,-5.45128e-06,-5.71108e-11,5.451323e-06,1.93606e-11
0.05,0.05,1.1,0.0,0.0,-6.75291e-06,-5.72582e-11,6.752946e-06,1.982398e-11
0.06,0.06,1.1,0.0,0.0,-8.03037e-06,-5.74296e-11,8.030407e-06,2.029727e-11
0.07,0.07,1.1,0.0,0.0,-9.28383e-06,-5.7625e-11,9.283866e-06,2.078065e-11
0.08,0.08,1.1,0.0,0.0,-1.05134e-05,-5.78382e-11,1.051348e-05,2.127433e-11
0.09,0.09,1.1,0.0,0.0,-1.17194e-05,-5.80753e-11,1.17194e-05,2.177849e-11
0.1,0.1,1.1,0.0,0.0,-1.29017e-05,-5.83302e-11,1.290177e-05,2.229334e-11
0.11,0.11,1.1,0.0,0.0,-1.40607e-05,-5.86073e-11,1.406073e-05,2.281907e-11
0.12,0.12,1.1,0.0,0.0,-1.51964e-05,-5.89022e-11,1.519641e-05,2.33559e-11
0.13,0.13,1.1,0.0,0.0,-1.63089e-05,-5.92193e-11,1.630893e-05,2.390402e-11
0.14,0.14,1.1,0.0,0.0,-1.73984e-05,-5.95541e-11,1.73984e-05,2.446366e-11
0.15,0.15,1.1,0.0,0.0,-1.84649e-05,-5.99094e-11,1.846492e-05,2.503501e-11
0.16,0.16,1.1,0.0,0.0,-1.95085e-05,-6.02842e-11,1.950856e-05,2.561831e-11
0.17,0.17,1.1,0.0,0.0,-2.05294e-05,-6.06795e-11,2.05294e-05,2.621376e-11
0.18,0.18,1.1,0.0,0.0,-2.15274e-05,-6.10934e-11,2.152748e-05,2.682159e-11
0.19,0.19,1.1,0.0,0.0,-2.25028e-05,-6.15277e-11,2.250283e-05,2.744203e-11
0.2,0.2,1.1,0.0,0.0,-2.34554e-05,-6.19806e-11,2.345546e-05,2.80753e-11
0.21,0.21,1.1,0.0,0.0,-2.43853e-05,-6.2454e-11,2.438535e-05,2.872163e-11
0.22,0.22,1.1,0.0,0.0,-2.52924e-05,-6.29479e-11,2.529246e-05,2.938127e-11
0.23,0.23,1.1,0.0,0.0,-2.61767e-05,-6.34612e-11,2.617671e-05,3.005444e-11
0.24,0.24,1.1,0.0,0.0,-2.7038e-05,-6.39941e-11,2.703801e-05,3.074139e-11
0.25,0.25,1.1,0.0,0.0,-2.78762e-05,-6.45475e-11,2.787621e-05,3.144237e-11
0.26,0.26,1.1,0.0,0.0,-2.86911e-05,-6.51204e-11,2.869114e-05,3.215761e-11
0.27,0.27,1.1,0.0,0.0,-2.94825e-05,-6.57137e-11,2.948258e-05,3.288738e-11
0.28,0.28,1.1,0.0,0.0,-3.02502e-05,-6.63301e-11,3.025028e-05,3.363192e-11
0.29,0.29,1.1,0.0,0.0,-3.09939e-05,-6.6966e-11,3.099395e-05,3.439149e-11
0.3,0.3,1.1,0.0,0.0,-3.17132e-05,-6.76232e-11,3.171325e-05,3.516636e-11
0.31,0.31,1.1,0.0,0.0,-3.24078e-05,-6.83009e-11,3.240784e-05,3.595679e-11
0.32,0.32,1.1,0.0,0.0,-3.30773e-05,-6.90017e-11,3.307733e-05,3.676305e-11
0.33,0.33,1.1,0.0,0.0,-3.37213e-05,-6.97247e-11,3.372134e-05,3.75854e-11
0.34,0.34,1.1,0.0,0.0,-3.43395e-05,-7.04699e-11,3.43395e-05,3.842413e-11
0.35,0.35,1.1,0.0,0.0,-3.49315e-05,-7.12364e-11,3.49315e-05,3.927951e-11
0.36,0.36,1.1,0.0,0.0,-3.5497e-05,-7.20286e-11,3.549707e-05,4.015181e-11
0.37,0.37,1.1,0.0,0.0,-3.60361e-05,-7.28422e-11,3.60361e-05,4.104134e-11
0.38,0.38,1.1,0.0,0.0,-3.65486e-05,-7.36806e-11,3.654861e-05,4.194836e-11
0.39,0.39,1.1,0.0,0.0,-3.70348e-05,-7.45422e-11,3.703482e-05,4.287317e-11
0.4,0.4,1.1,0.0,0.0,-3.74951e-05,-7.54294e-11,3.749515e-05,4.381605e-11
0.41,0.41,1.1,0.0,0.0,-3.79303e-05,-7.63407e-11,3.793029e-05,4.477729e-11
