v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,1.1,0.0,0.0,7.627549e-11,-2.2136e-10,7.627549e-11,6.880951e-11
0.01,0.01,1.1,0.0,0.0,-4.54895e-06,-2.21973e-10,4.549102e-06,7.044413e-11
0.02,0.02,1.1,0.0,0.0,-9.03087e-06,-2.22354e-10,9.031017e-06,7.211461e-11
0.03,0.03,1.1,0.0,0.0,-1.34457e-05,-2.22755e-10,1.344588e-05,7.382163e-11
0.04,0.04,1.1,0.0,0.0,-1.77936e-05,-2.23245e-10,1.779379e-05,7.556592e-11
0.05,0.05,1.1,0.0,0.0,-2.20747e-05,-2.23827e-10,2.207487e-05,7.73482e-11
0.06,0.06,1.1,0.0,0.0,-2.62891e-05,-2.24498e-10,2.628923e-05,7.91692e-11
0.07,0.07,1.1,0.0,0.0,-3.04369e-05,-2.25254e-10,3.043703e-05,8.102966e-11
0.08,0.08,1.1,0.0,0.0,-3.45182e-05,-2.26092e-10,3.451838e-05,8.293034e-11
0.09,0.09,1.1,0.0,0.0,-3.85333e-05,-2.27011e-10,3.853342e-05,8.4872e-11
0.1,0.1,1.1,0.0,0.0,-4.24821e-05,-2.2801e-10,4.248228e-05,8.685543e-11
0.11,0.11,1.1,0.0,0.0,-4.63649e-05,-2.29087e-10,4.636505e-05,8.888139e-11
0.12,0.12,1.1,0.0,0.0,-5.01817e-05,-2.30242e-10,5.018183e-05,9.095071e-11
0.13,0.13,1.1,0.0,0.0,-5.39326e-05,-2.31475e-10,5.393269e-05,9.306417e-11
0.14,0.14,1.1,0.0,0.0,-5.76175e-05,-2.32785e-10,5.761768e-05,9.522262e-11
0.15,0.15,1.1,0.0,0.0,-6.12367e-05,-2.34172e-10,6.123682e-05,9.742687e-11
0.16,0.16,1.1,0.0,0.0,-6.479e-05,-2.35635e-10,6.479009e-05,9.967777e-11
0.17,0.17,1.1,0.0,0.0,-6.82773e-05,-2.37174e-10,6.827745e-05,1.019762e-10
0.18,0.18,1.1,0.0,0.0,-7.16987e-05,-2.3879e-10,7.169881e-05,1.04323e-10
0.19,0.19,1.1,0.0,0.0,-7.50539e-05,-2.40483e-10,7.505404e-05,1.06719e-10
0.2,0.2,1.1,0.0,0.0,-7.83428e-05,-2.42251e-10,7.834295e-05,1.091652e-10
0.21,0.21,1.1,0.0,0.0,-8.15652e-05,-2.44096e-10,8.156531e-05,1.116624e-10
0.22,0.22,1.1,0.0,0.0,-8.47207e-05,-2.46019e-10,8.472081e-05,1.142116e-10
0.23,0.23,1.1,0.0,0.0,-8.78089e-05,-2.48018e-10,8.780907e-05,1.168137e-10
0.24,0.24,1.1,0.0,0.0,-9.08295e-05,-2.50096e-10,9.082964e-05,1.194696e-10
0.25,0.25,1.1,0.0,0.0,-9.37818e-05,-2.52251e-10,9.378198e-05,1.221802e-10
0.26,0.26,1.1,0.0,0.0,-9.66653e-05,-2.54484e-10,9.666544e-05,1.249466e-10
0.27,0.27,1.1,0.0,0.0,-9.94792e-05,-2.56797e-10,9.94793e-05,1.277697e-10
0.28,0.28,1.1,0.0,0.0,-0.000102223,-2.59191e-10,0.0001022227,1.306505e-10
0.29,0.29,1.1,0.0,0.0,-0.000104895,-2.61664e-10,0.0001048947,1.3359e-10
0.3,0.3,1.1,0.0,0.0,-0.000107494,-2.64218e-10,0.0001074942,1.365892e-10
0.31,0.31,1.1,0.0,0.0,-0.00011002,-2.66855e-10,0.0001100199,1.396491e-10
0.32,0.32,1.1,0.0,0.0,-0.000112471,-2.69575e-10,0.0001124707,1.427708e-10
0.33,0.33,1.1,0.0,0.0,-0.000114845,-2.7238e-10,0.000114845,1.459553e-10
0.34,0.34,1.1,0.0,0.0,-0.000117141,-2.7527e-10,0.0001171414,1.492037e-10
0.35,0.35,1.1,0.0,0.0,-0.000119358,-2.78247e-10,0.0001193583,1.525171e-10
0.36,0.36,1.1,0.0,0.0,-0.000121494,-2.81311e-10,0.0001214944,1.558965e-10
0.37,0.37,1.1,0.0,0.0,-0.000123548,-2.84465e-10,0.0001235481,1.593431e-10
0.38,0.38,1.1,0.0,0.0,-0.000125518,-2.8771e-10,0.0001255183,1.628579e-10
0.39,0.39,1.1,0.0,0.0,-0.000127404,-2.91046e-10,0.0001274041,1.664421e-10
0.4,0.4,1.1,0.0,0.0,-0.000129205,-2.94476e-10,0.0001292049,1.700969e-10
0.41,0.41,1.1,0.0,0.0,-0.000130921,-2.98001e-10,0.0001309208,1.738232e-10
0.42,0.42,1.1,0.0,0.0,-0.000132552,-3.01621e-10,0.0001325524,1.776224e-10
0.43,0.43,1.1,0.0,0.0,-0.000134101,-3.05338e-10,0.0001341011,1.814955e-10
0.44,0.44,1.1,0.0,0.0,-0.000135569,-3.09153e-10,0.000135569,1.854437e-10
0.45,0.45,1.1,0.0,0.0,-0.000136959,-3.13066e-10,0.000136959,1.894682e-10
0.46,0.46,1.1,0.0,0.0,-0.000138274,-3.17078e-10,0.0001382745,1.935701e-10
0.47,0.47,1.1,0.0,0.0,-0.000139519,-3.2119e-10,0.0001395195,1.977505e-10
0.48,0.48,1.1,0.0,0.0,-0.000140698,-3.25402e-10,0.0001406986,2.020107e-10
0.49,0.49,1.1,0.0,0.0,-0.000141816,-3.29714e-10,0.0001418164,2.063519e-10
0.5,0.5,1.1,0.0,0.0,-0.000142878,-3.34126e-10,0.0001428778,2.107751e-10
0.51,0.51,1.1,0.0,0.0,-0.000143888,-3.38639e-10,0.0001438877,2.152817e-10
0.52,0.52,1.1,0.0,0.0,-0.00014485,-3.43251e-10,0.0001448506,2.198727e-10
0.53,0.53,1.1,0.0,0.0,-0.000145771,-3.47965e-10,0.000145771,2.245494e-10
0.54,0.54,1.1,0.0,0.0,-0.000146653,-3.5278e-10,0.0001466531,2.293131e-10
0.55,0.55,1.1,0.0,0.0,-0.000147501,-3.57697e-10,0.0001475007,2.341649e-10
0.56,0.56,1.1,0.0,0.0,-0.000148317,-3.62716e-10,0.0001483174,2.391061e-10
0.57,0.57,1.1,0.0,0.0,-0.000149106,-3.67836e-10,0.0001491062,2.441379e-10
0.58,0.58,1.1,0.0,0.0,-0.00014987,-3.7306e-10,0.0001498701,2.492616e-10
0.59,0.59,1.1,0.0,0.0,-0.000150612,-3.78386e-10,0.0001506117,2.544784e-10
0.6,0.6,1.1,0.0,0.0,-0.000151333,-3.83817e-10,0.0001513331,2.597897e-10
0.61,0.61,1.1,0.0,0.0,-0.000152036,-3.89352e-10,0.0001520365,2.651968e-10
0.62,0.62,1.1,0.0,0.0,-0.000152724,-3.94992e-10,0.0001527237,2.707008e-10
0.63,0.63,1.1,0.0,0.0,-0.000153396,-4.00739e-10,0.0001533961,2.763032e-10
0.64,0.64,1.1,0.0,0.0,-0.000154055,-4.06593e-10,0.0001540554,2.820053e-10
