v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,1.1,1.100017e-12,9.891308e-15,1.100017e-12,-2.21001e-12
0.01,0.01,0.0,0.0,1.1,1.084513e-12,9.891544e-15,1.10552e-12,-2.20002e-12
0.02,0.02,0.0,0.0,1.1,1.059811e-12,9.89187e-15,1.120223e-12,-2.19005e-12
0.03,0.03,0.0,0.0,1.1,1.029376e-12,9.892091e-15,1.140657e-12,-2.18003e-12
0.04,0.04,0.0,0.0,1.1,9.875969e-13,9.892278e-15,1.172436e-12,-2.17001e-12
0.05,0.05,0.0,0.0,1.1,9.289085e-13,9.892434e-15,1.221125e-12,-2.16005e-12
0.06,0.06,0.0,0.0,1.1,8.445842e-13,9.892562e-15,1.295449e-12,-2.15e-12
0.07,0.07,0.0,0.0,1.1,7.210015e-13,9.892665e-15,1.409032e-12,-2.14004e-12
0.08,0.08,0.0,0.0,1.1,5.371464e-13,9.892746e-15,1.582887e-12,-2.13007e-12
0.09,0.09,0.0,0.0,1.1,2.608294e-13,9.892808e-15,1.849204e-12,-2.12003e-12
0.1,0.1,0.0,0.0,1.1,-1.57126e-13,9.892854e-15,2.257159e-12,-2.11006e-12
0.11,0.11,0.0,0.0,1.1,-7.91769e-13,9.892886e-15,2.881803e-12,-2.1001e-12
0.12,0.12,0.0,0.0,1.1,-1.75756e-12,9.892906e-15,3.837592e-12,-2.09002e-12
0.13,0.13,0.0,0.0,1.1,-3.22893e-12,9.892919e-15,5.298965e-12,-2.08006e-12
0.14,0.14,0.0,0.0,1.1,-5.47152e-12,9.89293e-15,7.531554e-12,-2.07001e-12
0.15,0.15,0.0,0.0,1.1,-8.88949e-12,9.89295e-15,1.093952e-11,-2.05994e-12
0.16,0.16,0.0,0.0,1.1,-1.40972e-11,9.89302e-15,1.613719e-11,-2.04997e-12
0.17,0.17,0.0,0.0,1.1,-2.20273e-11,9.893216e-15,2.405734e-11,-2.03998e-12
0.18,0.18,0.0,0.0,1.1,-3.40946e-11,9.89351e-15,3.61146e-11,-2.02996e-12
0.19,0.19,0.0,0.0,1.1,-5.24414e-11,9.893875e-15,5.445143e-11,-2.02e-12
0.2,0.2,0.0,0.0,1.1,-8.03076e-11,9.894316e-15,8.230768e-11,-2.01e-12
0.21,0.21,0.0,0.0,1.1,-1.22584e-10,9.89485e-15,1.24574e-10,-1.99998e-12
0.22,0.22,0.0,0.0,1.1,-1.86638e-10,9.895508e-15,1.88618e-10,-1.99005e-12
0.23,0.23,0.0,0.0,1.1,-2.83543e-10,9.896334e-15,2.855133e-10,-1.98e-12
0.24,0.24,0.0,0.0,1.1,-4.29898e-10,9.897391e-15,4.318576e-10,-1.96998e-12
0.25,0.25,0.0,0.0,1.1,-6.50501e-10,9.898772e-15,6.524514e-10,-1.95996e-12
0.26,0.26,0.0,0.0,1.1,-9.82275e-10,9.900615e-15,9.842155e-10,-1.95e-12
0.27,0.27,0.0,0.0,1.1,-1.47995e-09,9.903118e-15,1.481883e-09,-1.94e-12
0.28,0.28,0.0,0.0,1.1,-2.22427e-09,9.906569e-15,2.226195e-09,-1.93001e-12
0.29,0.29,0.0,0.0,1.1,-3.33369e-09,9.911385e-15,3.335598e-09,-1.92005e-12
0.3,0.3,0.0,0.0,1.1,-4.98085e-09,9.918166e-15,4.982746e-09,-1.91003e-12
0.31,0.31,0.0,0.0,1.1,-7.41563e-09,9.927766e-15,7.417517e-09,-1.90004e-12
0.32,0.32,0.0,0.0,1.1,-1.09968e-08,9.941389e-15,1.09987e-08,-1.8901e-12
0.33,0.33,0.0,0.0,1.1,-1.62352e-08,9.96072e-15,1.623706e-08,-1.88016e-12
0.34,0.34,0.0,0.0,1.1,-2.38513e-08,9.98808e-15,2.385313e-08,-1.87014e-12
0.35,0.35,0.0,0.0,1.1,-3.4852e-08,1.002663e-14,3.485382e-08,-1.86021e-12
0.36,0.36,0.0,0.0,1.1,-5.06313e-08,1.00806e-14,5.063318e-08,-1.85035e-12
0.37,0.37,0.0,0.0,1.1,-7.3102e-08,1.015559e-14,7.310384e-08,-1.84047e-12
0.38,0.38,0.0,0.0,1.1,-1.04866e-07,1.025884e-14,1.048678e-07,-1.8307e-12
0.39,0.39,0.0,0.0,1.1,-1.49435e-07,1.039963e-14,1.494365e-07,-1.82104e-12
0.4,0.4,0.0,0.0,1.1,-2.1151e-07,1.058961e-14,2.115114e-07,-1.81147e-12
0.41,0.41,0.0,0.0,1.1,-2.9733e-07,1.084331e-14,2.973314e-07,-1.80195e-12
0.42,0.42,0.0,0.0,1.1,-4.15081e-07,1.117855e-14,4.150827e-07,-1.7927e-12
0.43,0.43,0.0,0.0,1.1,-5.75344e-07,1.161719e-14,5.753458e-07,-1.7838e-12
0.44,0.44,0.0,0.0,1.1,-7.91514e-07,1.218582e-14,7.91516e-07,-1.77541e-12
