v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,1.1,1.100006e-12,2.934784e-15,1.100006e-12,-2.20293e-12
0.01,0.01,0.0,0.0,1.1,1.088373e-12,2.934854e-15,1.101639e-12,-2.193e-12
0.02,0.02,0.0,0.0,1.1,1.074013e-12,2.93495e-15,1.106e-12,-2.18303e-12
0.03,0.03,0.0,0.0,1.1,1.057954e-12,2.935016e-15,1.112059e-12,-2.17296e-12
0.04,0.04,0.0,0.0,1.1,1.038533e-12,2.935071e-15,1.121479e-12,-2.16299e-12
0.05,0.05,0.0,0.0,1.1,1.014104e-12,2.935118e-15,1.135909e-12,-2.15306e-12
0.06,0.06,0.0,0.0,1.1,9.820806e-13,2.935156e-15,1.157932e-12,-2.14301e-12
0.07,0.07,0.0,0.0,1.1,9.384296e-13,2.935186e-15,1.191583e-12,-2.13299e-12
0.08,0.08,0.0,0.0,1.1,8.769269e-13,2.93521e-15,1.243085e-12,-2.123e-12
0.09,0.09,0.0,0.0,1.1,7.880396e-13,2.935229e-15,1.321973e-12,-2.11295e-12
0.1,0.1,0.0,0.0,1.1,6.572044e-13,2.935242e-15,1.442808e-12,-2.10301e-12
0.11,0.11,0.0,0.0,1.1,4.621962e-13,2.935252e-15,1.627816e-12,-2.09299e-12
0.12,0.12,0.0,0.0,1.1,1.691208e-13,2.935258e-15,1.910892e-12,-2.08294e-12
0.13,0.13,0.0,0.0,1.1,-2.73676e-13,2.935262e-15,2.343689e-12,-2.07301e-12
0.14,0.14,0.0,0.0,1.1,-9.44854e-13,2.935265e-15,3.004867e-12,-2.06302e-12
0.15,0.15,0.0,0.0,1.1,-1.96409e-12,2.935271e-15,4.014102e-12,-2.05302e-12
0.16,0.16,0.0,0.0,1.1,-3.51329e-12,2.935292e-15,5.553301e-12,-2.04303e-12
0.17,0.17,0.0,0.0,1.1,-5.86865e-12,2.93535e-15,7.898665e-12,-2.03301e-12
0.18,0.18,0.0,0.0,1.1,-9.44905e-12,2.935437e-15,1.146906e-11,-2.02308e-12
0.19,0.19,0.0,0.0,1.1,-1.48889e-11,2.935545e-15,1.689888e-11,-2.01292e-12
0.2,0.2,0.0,0.0,1.1,-2.31474e-11,2.935676e-15,2.51474e-11,-2.00298e-12
0.21,0.21,0.0,0.0,1.1,-3.56727e-11,2.935835e-15,3.766272e-11,-1.99296e-12
0.22,0.22,0.0,0.0,1.1,-5.46463e-11,2.93603e-15,5.662632e-11,-1.98297e-12
0.23,0.23,0.0,0.0,1.1,-8.33469e-11,2.936275e-15,8.531692e-11,-1.97301e-12
0.24,0.24,0.0,0.0,1.1,-1.26689e-10,2.936588e-15,1.286489e-10,-1.96299e-12
0.25,0.25,0.0,0.0,1.1,-1.92015e-10,2.936998e-15,1.939653e-10,-1.95299e-12
0.26,0.26,0.0,0.0,1.1,-2.90258e-10,2.937545e-15,2.921977e-10,-1.94303e-12
0.27,0.27,0.0,0.0,1.1,-4.37622e-10,2.938288e-15,4.395515e-10,-1.93293e-12
0.28,0.28,0.0,0.0,1.1,-6.58013e-10,2.939312e-15,6.599332e-10,-1.92299e-12
0.29,0.29,0.0,0.0,1.1,-9.86503e-10,2.940741e-15,9.884127e-10,-1.91303e-12
