v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,1.1,1.100009e-12,4.673915e-15,1.100009e-12,-2.20474e-12
0.01,0.01,0.0,0.0,1.1,1.087408e-12,4.674026e-15,1.102609e-12,-2.19477e-12
0.02,0.02,0.0,0.0,1.1,1.070462e-12,4.67418e-15,1.109555e-12,-2.18481e-12
0.03,0.03,0.0,0.0,1.1,1.05081e-12,4.674285e-15,1.119208e-12,-2.17476e-12
0.04,0.04,0.0,0.0,1.1,1.0258e-12,4.674373e-15,1.134218e-12,-2.16482e-12
0.05,0.05,0.0,0.0,1.1,9.928062e-13,4.674447e-15,1.157211e-12,-2.15478e-12
0.06,0.06,0.0,0.0,1.1,9.477091e-13,4.674507e-15,1.192308e-12,-2.14478e-12
0.07,0.07,0.0,0.0,1.1,8.840771e-13,4.674556e-15,1.24594e-12,-2.13482e-12
0.08,0.08,0.0,0.0,1.1,7.919897e-13,4.674594e-15,1.328028e-12,-2.12477e-12
0.09,0.09,0.0,0.0,1.1,6.562502e-13,4.674624e-15,1.453767e-12,-2.11478e-12
0.1,0.1,0.0,0.0,1.1,4.536432e-13,4.674645e-15,1.646374e-12,-2.10482e-12
0.11,0.11,0.0,0.0,1.1,1.487392e-13,4.67466e-15,1.941278e-12,-2.09482e-12
0.12,0.12,0.0,0.0,1.1,-3.12495e-13,4.67467e-15,2.392512e-12,-2.0848e-12
0.13,0.13,0.0,0.0,1.1,-1.0124e-12,4.674676e-15,3.082422e-12,-2.07478e-12
0.14,0.14,0.0,0.0,1.1,-2.07639e-12,4.674681e-15,4.136404e-12,-2.06485e-12
0.15,0.15,0.0,0.0,1.1,-3.69523e-12,4.674691e-15,5.745247e-12,-2.05483e-12
0.16,0.16,0.0,0.0,1.1,-6.15893e-12,4.674724e-15,8.198948e-12,-2.04481e-12
0.17,0.17,0.0,0.0,1.1,-9.90781e-12,4.674816e-15,1.193783e-11,-2.03484e-12
0.18,0.18,0.0,0.0,1.1,-1.56097e-11,4.674955e-15,1.762967e-11,-2.02488e-12
0.19,0.19,0.0,0.0,1.1,-2.42758e-11,4.675128e-15,2.628583e-11,-2.0148e-12
0.2,0.2,0.0,0.0,1.1,-3.74356e-11,4.675336e-15,3.943565e-11,-2.00484e-12
0.21,0.21,0.0,0.0,1.1,-5.73977e-11,4.675589e-15,5.938774e-11,-1.99485e-12
0.22,0.22,0.0,0.0,1.1,-8.764e-11,4.6759e-15,8.961998e-11,-1.98475e-12
0.23,0.23,0.0,0.0,1.1,-1.33389e-10,4.67629e-15,1.353595e-10,-1.97478e-12
0.24,0.24,0.0,0.0,1.1,-2.02481e-10,4.676789e-15,2.044412e-10,-1.96471e-12
0.25,0.25,0.0,0.0,1.1,-3.06622e-10,4.677442e-15,3.085718e-10,-1.95477e-12
0.26,0.26,0.0,0.0,1.1,-4.63239e-10,4.678313e-15,4.651794e-10,-1.94481e-12
0.27,0.27,0.0,0.0,1.1,-6.9817e-10,4.679495e-15,7.000999e-10,-1.9349e-12
0.28,0.28,0.0,0.0,1.1,-1.04953e-09,4.681126e-15,1.051447e-09,-1.92493e-12
