v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,1.1,0.0,0.0,1.046571e-10,-3.03727e-10,1.046571e-10,9.441305e-11
0.01,0.01,1.1,0.0,0.0,-6.1127e-06,-3.04567e-10,6.112912e-06,9.665218e-11
0.02,0.02,1.1,0.0,0.0,-1.21372e-05,-3.05091e-10,1.213738e-05,9.89405e-11
0.03,0.03,1.1,0.0,0.0,-1.80733e-05,-3.0564e-10,1.807354e-05,1.01279e-10
0.04,0.04,1.1,0.0,0.0,-2.39213e-05,-3.06313e-10,2.392147e-05,1.036686e-10
0.05,0.05,1.1,0.0,0.0,-2.96811e-05,-3.07111e-10,2.968129e-05,1.061103e-10
0.06,0.06,1.1,0.0,0.0,-3.53529e-05,-3.08031e-10,3.535312e-05,1.086052e-10
0.07,0.07,1.1,0.0,0.0,-4.09369e-05,-3.09068e-10,4.093709e-05,1.111542e-10
0.08,0.08,1.1,0.0,0.0,-4.64332e-05,-3.10218e-10,4.643335e-05,1.137583e-10
0.09,0.09,1.1,0.0,0.0,-5.18418e-05,-3.11479e-10,5.184202e-05,1.164188e-10
0.1,0.1,1.1,0.0,0.0,-5.7163e-05,-3.12849e-10,5.716321e-05,1.191365e-10
0.11,0.11,1.1,0.0,0.0,-6.23969e-05,-3.14327e-10,6.239704e-05,1.219125e-10
0.12,0.12,1.1,0.0,0.0,-6.75434e-05,-3.15912e-10,6.754359e-05,1.247481e-10
0.13,0.13,1.1,0.0,0.0,-7.26027e-05,-3.17603e-10,7.26029e-05,1.276442e-10
0.14,0.14,1.1,0.0,0.0,-7.75748e-05,-3.194e-10,7.757502e-05,1.306021e-10
0.15,0.15,1.1,0.0,0.0,-8.24597e-05,-3.21302e-10,8.245992e-05,1.336228e-10
0.16,0.16,1.1,0.0,0.0,-8.72574e-05,-3.23309e-10,8.725755e-05,1.367075e-10
0.17,0.17,1.1,0.0,0.0,-9.19676e-05,-3.25421e-10,9.196783e-05,1.398574e-10
0.18,0.18,1.1,0.0,0.0,-9.65904e-05,-3.27638e-10,9.65906e-05,1.430737e-10
0.19,0.19,1.1,0.0,0.0,-0.000101125,-3.29959e-10,0.0001011257,1.463575e-10
0.2,0.2,1.1,0.0,0.0,-0.000105573,-3.32385e-10,0.0001055727,1.497101e-10
0.21,0.21,1.1,0.0,0.0,-0.000109931,-3.34917e-10,0.0001099315,1.531328e-10
0.22,0.22,1.1,0.0,0.0,-0.000114201,-3.37554e-10,0.0001142014,1.566268e-10
0.23,0.23,1.1,0.0,0.0,-0.000118382,-3.40297e-10,0.0001183821,1.601933e-10
0.24,0.24,1.1,0.0,0.0,-0.000122473,-3.43146e-10,0.0001224728,1.638336e-10
0.25,0.25,1.1,0.0,0.0,-0.000126473,-3.46102e-10,0.0001264729,1.675491e-10
0.26,0.26,1.1,0.0,0.0,-0.000130381,-3.49166e-10,0.0001303815,1.713411e-10
0.27,0.27,1.1,0.0,0.0,-0.000134197,-3.52339e-10,0.0001341975,1.752109e-10
0.28,0.28,1.1,0.0,0.0,-0.00013792,-3.5562e-10,0.0001379199,1.791598e-10
0.29,0.29,1.1,0.0,0.0,-0.000141547,-3.59012e-10,0.0001415473,1.831892e-10
0.3,0.3,1.1,0.0,0.0,-0.000145078,-3.62516e-10,0.0001450783,1.873006e-10
0.31,0.31,1.1,0.0,0.0,-0.000148511,-3.66132e-10,0.0001485113,1.914953e-10
0.32,0.32,1.1,0.0,0.0,-0.000151844,-3.69862e-10,0.0001518444,1.957747e-10
0.33,0.33,1.1,0.0,0.0,-0.000155076,-3.73708e-10,0.0001550759,2.001403e-10
0.34,0.34,1.1,0.0,0.0,-0.000158203,-3.7767e-10,0.0001582036,2.045936e-10
0.35,0.35,1.1,0.0,0.0,-0.000161225,-3.81751e-10,0.0001612256,2.091359e-10
0.36,0.36,1.1,0.0,0.0,-0.00016414,-3.85952e-10,0.0001641397,2.137689e-10
0.37,0.37,1.1,0.0,0.0,-0.000166944,-3.90276e-10,0.000166944,2.18494e-10
0.38,0.38,1.1,0.0,0.0,-0.000169637,-3.94724e-10,0.0001696368,2.233127e-10
0.39,0.39,1.1,0.0,0.0,-0.000172216,-3.99297e-10,0.0001722166,2.282266e-10
0.4,0.4,1.1,0.0,0.0,-0.000174682,-4.03998e-10,0.0001746826,2.332373e-10
0.41,0.41,1.1,0.0,0.0,-0.000177034,-4.08829e-10,0.0001770346,2.383462e-10
0.42,0.42,1.1,0.0,0.0,-0.000179273,-4.13791e-10,0.000179273,2.43555e-10
0.43,0.43,1.1,0.0,0.0,-0.000181399,-4.18885e-10,0.0001813995,2.488652e-10
