v(gate1),v(gate2),v(drain1),v(drain2),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,0.1282484,1.1,-1.12912e-10,5.024651e-11,1.264425e-12,-6.14016e-11,1.399075e-13,6.113339e-11,1.282546e-13,-6.14016e-11,1.743136e-10,-6.19638e-11,-1.08932e-10,1.708958e-10
0.0,1.1,0.8260849,1.1,-1.88628e-09,-8.34888e-14,1.931955e-12,-1.88443e-09,1.556508e-11,1.868038e-09,8.261057e-13,-1.88443e-09,1.8845134887999998e-09,-1.92112e-09,-7.99361e-14,1.9211999361000003e-09
1.1,0.0,2.486976e-05,1.1,-7.47683e-09,5.010661e-11,1.158409e-12,-7.42557e-09,-1.38995e-10,7.521356e-09,4.320851e-11,-7.42557e-09,7.615825e-09,-1.38994e-10,-7.48354e-09,7.622534e-09
1.1,1.1,1.593756e-07,0.0,9.578781e-11,-1.38994e-10,4.320599e-11,0.0,-1.38994e-10,9.578781e-11,4.320599e-11,0.0,2.77988e-10,-1.38994e-10,-1.38994e-10,2.77988e-10
