v(gate1),v(gate2),v(drain1),v(drain2),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,1.1,1.1,1.1,-1.08725e-14,5.651588e-11,-5.65052e-11,3.293373e-20,5.651588e-11,-1.08725e-14,-5.65051e-11,3.293373e-20,1.1303176e-10,5.651588e-11,5.651588e-11,1.1303176e-10
0.0,1.1,1.099965,0.0,0.0,1.195213e-08,-8.43769e-15,-1.14303e-12,1.195098e-08,5.652146e-11,-1.1951e-08,-5.65106e-11,1.195098e-08,1.200865146e-08,5.651588e-11,1.196942e-08,1.202593588e-08
1.1,0.0,0.2773836,0.0,0.0,1.297605e-09,6.422282e-15,-1.9291e-12,1.295682e-09,-1.77636e-15,-1.29486e-09,-8.22786e-13,1.295682e-09,1.2956884222820001e-09,1.271224e-09,6.42294e-15,1.2712304229399998e-09
1.1,1.1,0.9446771,0.0,0.0,1.688461e-11,-8.65974e-15,-1.2797e-12,1.559644e-11,-2.22045e-16,-1.54411e-11,-1.55487e-13,1.559644e-11,3.248105e-11,1.610082e-11,1.400091e-11,3.010173e-11
