v(gate1),v(gate2),v(drain1),v(drain2),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,0.1283082,1.1,-3.11441e-10,1.39574e-10,1.318747e-12,-1.70549e-10,3.889474e-13,1.700312e-10,1.283225e-13,-1.70549e-10,4.8199e-10,-1.72055e-10,-3.00763e-10,4.72818e-10
0.0,1.1,0.826093,1.1,-5.23957e-09,-2.3348e-13,1.942393e-12,-5.23786e-09,4.323793e-11,5.193798e-09,8.261479e-13,-5.23786e-09,5.238093480000001e-09,-5.33965e-09,-2.21045e-13,5.3398710450000005e-09
1.1,0.0,2.687775e-05,1.1,-2.07841e-08,1.39185e-10,1.251922e-12,-2.06436e-08,-3.86097e-10,2.090969e-08,1.200241e-10,-2.06436e-08,2.1170197e-08,-3.86094e-10,-2.08042e-08,2.1190294e-08
1.1,1.1,1.721023e-07,0.0,2.660772e-10,-3.86094e-10,1.200166e-10,0.0,-3.86094e-10,2.660772e-10,1.200166e-10,0.0,7.72188e-10,-3.86094e-10,-3.86094e-10,7.72188e-10
