v(gate1),v(gate2),v(drain1),v(drain2),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,0.128314,1.1,-3.77619e-10,1.693498e-10,1.336841e-12,-2.06933e-10,4.719605e-13,2.063323e-10,1.283311e-13,-2.06933e-10,5.84552e-10,-2.08754e-10,-3.64708e-10,5.73462e-10
0.0,1.1,0.8260938,1.1,-6.35738e-09,-2.83107e-13,1.945871e-12,-6.35572e-09,5.246221e-11,6.302429e-09,8.2616e-13,-6.35572e-09,6.356003107e-09,-6.4792e-09,-2.68119e-13,6.4794681189999995e-09
1.1,0.0,2.710093e-05,1.1,-2.52199e-08,1.688778e-10,1.283089e-12,-2.50498e-08,-4.68465e-10,2.537262e-08,1.456294e-10,-2.50498e-08,2.5688365000000002e-08,-4.6846e-10,-2.52446e-08,2.571306e-08
1.1,1.1,1.735163e-07,0.0,3.228404e-10,-4.68461e-10,1.456202e-10,0.0,-4.68461e-10,3.228404e-10,1.456202e-10,0.0,9.36922e-10,-4.6846e-10,-4.6846e-10,9.3692e-10
