v(gate1),v(gate2),v(drain1),v(drain2),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,0.1282832,1.1,-1.79087e-10,8.002232e-11,1.282547e-12,-9.77821e-11,2.22921e-13,9.743085e-11,1.282922e-13,-9.77821e-11,2.768691e-10,-9.86589e-11,-1.72874e-10,2.715329e-10
0.0,1.1,0.8260896,1.1,-3.004e-09,-1.33671e-13,1.935437e-12,-3.0022e-09,2.478937e-11,2.97658e-09,8.261218e-13,-3.0022e-09,3.0023336709999997e-09,-3.06058e-09,-1.26565e-13,3.060706565e-09
1.1,0.0,2.598516e-05,1.1,-1.19124e-08,7.979942e-11,1.189583e-12,-1.18314e-08,-2.21362e-10,1.198398e-08,6.881371e-11,-1.18314e-08,1.2133762e-08,-2.2136e-10,-1.19236e-08,1.214496e-08
1.1,1.1,1.664462e-07,0.0,1.52551e-10,-2.2136e-10,6.880954e-11,5.169879e-26,-2.2136e-10,1.52551e-10,6.880954e-11,5.169879e-26,4.4272e-10,-2.2136e-10,-2.2136e-10,4.4272e-10
