v(gate1),v(gate2),v(drain1),v(drain2),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,1.1,1.1,1.1,-4.97552e-15,2.58632e-11,-2.58581e-11,3.021849e-20,2.58632e-11,-4.97552e-15,-2.58583e-11,3.021849e-20,5.17264e-11,2.58632e-11,2.58632e-11,5.17264e-11
0.0,1.1,1.099966,0.0,0.0,5.461778e-09,-3.9968e-15,-1.12077e-12,5.460654e-09,2.586566e-11,-5.46066e-09,-2.58608e-11,5.460654e-09,5.48764366e-09,2.58632e-11,5.469392e-09,5.4952552e-09
1.1,0.0,0.2774131,0.0,0.0,5.942056e-10,2.939014e-15,-1.9256e-12,5.92283e-10,-8.88178e-16,-5.9146e-10,-8.2262e-13,5.92283e-10,5.922859390139999e-10,5.812341e-10,2.939312e-15,5.812370393120001e-10
1.1,1.1,0.9451421,0.0,0.0,8.458996e-12,-3.9968e-15,-1.26707e-12,7.18808e-12,-4.44089e-16,-7.03321e-12,-1.54848e-13,7.18808e-12,1.5647075999999998e-11,6.953592e-12,1.01754e-11,1.7128992e-11
