v(gate1),v(gate2),v(drain1),v(drain2),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,1.1,1.1,1.1,-7.92396e-15,4.118954e-11,-4.11817e-11,-9.94318e-22,4.118954e-11,-7.92396e-15,-4.11816e-11,-9.94318e-22,8.237908e-11,4.118954e-11,4.118954e-11,8.237908e-11
0.0,1.1,1.099966,0.0,0.0,8.706752e-09,-5.9952e-15,-1.1319e-12,8.705614e-09,4.119356e-11,-8.70562e-09,-4.11856e-11,8.705614e-09,8.74794556e-09,4.118954e-11,8.719195e-09,8.76038454e-09
1.1,0.0,0.2773929,0.0,0.0,9.458814e-10,4.680648e-15,-1.92746e-12,9.439588e-10,-1.11022e-15,-9.43135e-10,-8.22648e-13,9.439588e-10,9.43963480648e-10,9.262054e-10,4.681126e-15,9.26210081126e-10
1.1,1.1,0.9448241,0.0,0.0,1.26716e-11,-6.43929e-15,-1.27351e-12,1.139197e-11,2.220446e-16,-1.12368e-11,-1.55292e-13,1.139197e-11,2.4063569999999998e-11,1.177204e-11,1.049786e-11,2.2269899999999998e-11
