v(gate1),v(gate2),v(drain1),v(drain2),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,1.1,1.1,1.1,-1.3821e-14,7.184222e-11,-7.18284e-11,-1.19191e-20,7.184222e-11,-1.3821e-14,-7.18285e-11,-1.19191e-20,1.4368444e-10,7.184222e-11,7.184222e-11,1.4368444e-10
0.0,1.1,1.099965,0.0,0.0,1.519767e-08,-1.08802e-14,-1.15416e-12,1.519651e-08,7.184936e-11,-1.51965e-08,-7.18355e-11,1.519651e-08,1.526951936e-08,7.184222e-11,1.521982e-08,1.529166222e-08
1.1,0.0,0.2773784,0.0,0.0,1.649347e-09,8.163916e-15,-1.93096e-12,1.647424e-09,-2.10942e-15,-1.6466e-09,-8.22703e-13,1.647424e-09,1.6474321639159999e-09,1.61626e-09,8.164754e-15,1.616268164754e-09
1.1,1.1,0.9445924,0.0,0.0,2.109778e-11,-1.08802e-14,-1.28578e-12,1.980115e-11,0.0,-1.96457e-11,-1.55542e-13,1.980115e-11,4.089893e-11,2.042983e-11,1.750414e-11,3.7933969999999996e-11
