v(gate1),v(gate2),v(drain1),v(drain2),v(alimd),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,1.1,1.1,1.1,-1.67693e-14,8.716856e-11,-8.71518e-11,-1.53752e-19,8.716856e-11,-1.67693e-14,-8.71518e-11,-1.53752e-19,1.7433712e-10,8.716856e-11,8.716856e-11,1.7433712e-10
0.0,1.1,1.099965,0.0,0.0,1.844329e-08,-1.32117e-14,-1.16529e-12,1.844211e-08,8.717727e-11,-1.84421e-08,-8.71604e-11,1.844211e-08,1.8530467270000002e-08,8.716856e-11,1.847029e-08,1.855745856e-08
1.1,0.0,0.2773749,0.0,0.0,2.001098e-09,9.90555e-15,-1.93265e-12,1.999176e-09,-2.66454e-15,-1.99835e-09,-8.22703e-13,1.999176e-09,1.99918590555e-09,1.961306e-09,9.906569e-15,1.961315906569e-09
1.1,1.1,0.9445373,0.0,0.0,2.531105e-11,-1.33227e-14,-1.29194e-12,2.400596e-11,0.0,-2.38505e-11,-1.5557e-13,2.400596e-11,4.931701e-11,2.475895e-11,2.100746e-11,4.5766409999999996e-11
