v(gate1),v(gate2),v(drain1),v(drain2),i(vd2),i(vg2),i(vb2),i(vd1),i(vg1),i(vs1),i(vb1),i(vs2),total,prev_leakage_1,prev_leakage_2,total_prev
0.0,0.0,0.1282991,1.1,-2.45264e-10,1.097981e-10,1.300651e-12,-1.34165e-10,3.059343e-13,1.337306e-10,1.283108e-13,-1.34165e-10,3.79429e-10,-1.35356e-10,-2.36818e-10,3.72174e-10
0.0,1.1,0.8260918,1.1,-4.12177e-09,-1.83853e-13,1.938915e-12,-4.12002e-09,3.401365e-11,4.085178e-09,8.261353e-13,-4.12002e-09,4.120203853e-09,-4.2001e-09,-1.73861e-13,4.200273861e-09
1.1,0.0,2.6543e-05,1.1,-1.63482e-08,1.094922e-10,1.220753e-12,-1.62375e-08,-3.0373e-10,1.64468e-08,9.441893e-11,-1.62375e-08,1.665193e-08,-3.03727e-10,-1.63639e-08,1.6667627e-08
1.1,1.1,1.699813e-07,0.0,2.093141e-10,-3.03727e-10,9.441309e-11,1.033976e-25,-3.03727e-10,2.093141e-10,9.441309e-11,1.033976e-25,6.07454e-10,-3.03727e-10,-3.03727e-10,6.07454e-10
